SID,validity,target,nonTargetContrast,dis_dp,dis_c,det_dp,det_c,dis_dp_SS,dis_c_SS,det_dp_SS,det_c_SS
"S0019",2,2,1,2.03749593939488,-0.131601410678566,2.47251405802583,-0.917617665048541,2.03749593939489,-0.131601410678566,2.47251405802582,-0.917617665048539
"S0019",3,2,1,0.807415775079045,-0.0850685235751472,2.82836444425754,-0.739692471932687,0.807415775079048,-0.0850685235751469,2.82836444425754,-0.73969247193269
"S0019",1,1,2,1.54630934987526,-0.180170120955997,4.59851606663541,0.262423901616318,1.63184768892503,-0.185965965349858,4.10011041254967,0.103819487786621
"S0019",2,1,2,1.86169746635912,-0.0892274996066437,3.01308124779766,0.356191243522822,1.87331900540051,-0.0834167300859493,3.01308124779768,0.35619124352282
"S0019",3,1,2,1.22236590703883,-0.180455654223959,3.47188559136499,0.41793189837896,1.23084996816306,-0.181615640792354,3.47188559136498,0.417931898378957
"S0019",1,2,2,2.13623014658922,-0.303405399508222,3.5943962635439,0.065533735649703,2.19953086189217,-0.308634803755937,3.63328603101467,0.0377615973132675
"S0019",2,2,2,1.34897950039216,-0,4.01660656148311,-0.145571413319902,1.35760485221558,-0.000328043265544223,4.01660656148309,-0.145571413319902
"S0019",3,2,2,1.58473767995115,-0.708717106068448,3.687995238414,0.309877074854455,1.58473767995116,-0.708717106068444,3.68799523841401,0.309877074854455
"S0070",1,1,1,2.79228210541564,0.137979491644725,4.18666265654722,-0.468350606660411,2.80929728660322,0.114591386256212,3.83109026661423,-0.23832956075434
"S0070",2,1,1,2.68446992472856,0.191885581988269,3.687995238414,-0.309877074854455,2.68446992472855,0.191885581988268,3.68799523841401,-0.309877074854455
"S0070",3,1,1,1.56163630921496,0.106328404411397,4.01660656148311,-0.145571413319902,1.56163630921496,0.106328404411397,4.01660656148309,-0.145571413319902
"S0070",1,2,1,3.56915289932052,0.526414888597161,4.01608953779006,-0.55363716603899,3.17766788202468,0.273897926409312,3.65947897195125,-0.324135208085829
"S0070",2,2,1,2.68446992472856,0.191885581988269,4.01660656148311,-0.145571413319902,2.68446992472855,0.191885581988268,4.01660656148309,-0.145571413319902
"S0070",3,2,1,2.53722161761773,0.594121058612785,3.16386486331104,-0.571942262405937,2.53722161761774,0.594121058612785,3.16386486331103,-0.57194226240594
"S0070",1,1,2,3.07929327369713,0.19201775927368,4.17372320567907,0.224129735417884,2.97955570805725,0.116748407609553,3.91558367489477,0.101461437956129
"S0070",2,1,2,1.9523928502097,-0.134575191531936,3.3968524117742,0.164305661534553,1.96859945075895,-0.13775066632528,3.39685241177418,0.164305661534553
"S0070",3,1,2,1.90919175745106,-0.112974645152614,3.47188559136499,0.41793189837896,1.91577517442915,-0.10968293666357,3.47188559136498,0.417931898378957
"S0070",1,2,2,3.46332879224449,-2.22044604925031e-16,5.12336386986805,1.11022302462516e-15,3.17663140423135,0.00224063949028605,4.30774938812292,-0
"S0070",2,2,2,3.32796566010717,0.198749037368064,3.687995238414,0.309877074854455,3.2679768834247,0.168754649026833,3.68799523841401,0.309877074854455
"S0070",3,2,2,3.69664650323757,-0.0144086158028687,4.01660656148311,0.145571413319902,3.60548618147837,-1.11022302462516e-16,4.01660656148309,0.145571413319902
"S0071",1,1,1,2.75451459990347,-0.00573682714890311,2.89012350051298,-0.865929588000932,2.81144804079397,0.00298355032198814,2.64081978001419,-0.737969956916507
"S0071",2,1,1,1.16326616131075,0.0928566695407061,2.82836444425754,-0.739692471932687,1.16326616131075,0.0928566695407059,2.82836444425754,-0.73969247193269
"S0071",3,1,1,1.34897950039216,-0,2.82836444425754,-0.739692471932687,1.34897950039216,-0,2.82836444425754,-0.73969247193269
"S0071",1,2,1,2.47325843998376,-0.495035176130365,3.52910350103572,-0.79713018441616,2.40857294910175,-0.428154568356014,3.15238983975043,-0.577679774186238
"S0071",2,2,1,2.20861029454863,-0.429815397078232,2.73300685631701,-0.78737126590295,2.20861029454863,-0.42981539707823,2.73300685631701,-0.787371265902948
"S0071",3,2,1,2.03749593939488,-0.131601410678566,3.04102125308033,-0.63336406752129,2.03749593939489,-0.131601410678566,3.04102125308032,-0.633364067521288
"S0071",1,1,2,1.86791651531987,-0.463878271311171,3.71203131531003,0.705666277279008,1.8515237866406,-0.444907425662609,3.33889267682757,0.484428355647668
"S0071",2,1,2,2.87959665515549,0.32902671094096,2.46836027767954,0.0838307584637642,2.87223564852111,0.29554657186169,2.46836027767954,0.0838307584637643
"S0071",3,1,2,2.75174062890845,-0.355794081668022,2.93029645520938,0.688726466456764,2.76516199942278,-0.349083396410858,2.93029645520937,0.688726466456765
"S0071",1,2,2,3.22186421771701,-0.417137036075401,3.84511188260997,0.388435396952436,2.89555246410084,-0.227135808916919,3.63402175353172,0.234672685145021
"S0071",2,2,2,3.63155690594036,-0.0469534144514727,3.47188559136499,0.41793189837896,3.5376500770374,-2.22044604925031e-16,3.47188559136498,0.417931898378957
"S0071",3,2,2,3.33500058185994,0.166414344885945,3.06824108870509,-0,3.24322940223223,0.147210337402597,3.06824108870509,-0
"S0085",1,1,1,2.00760370059719,0.146547530077415,4.07366826340278,4.44089209850063e-16,2.09834099183677,0.150097079966565,3.92113000184875,0.00396359408366936
"S0085",2,1,1,2.03749593939488,0.131601410678566,4.01660656148311,-0.145571413319902,2.03749593939489,0.131601410678566,4.01660656148309,-0.145571413319902
"S0085",3,1,1,2.03749593939488,0.131601410678566,4.30774938812291,-0,2.03749593939489,0.131601410678566,4.30774938812292,-0
"S0085",1,2,1,3.41982825880203,0.326920002300375,4.01608953779006,-0.55363716603899,3.15247634112442,0.180680850831189,3.66747996386828,-0.320134712127315
"S0085",2,2,1,3.01308124779766,0.356191243522822,3.47188559136499,-0.41793189837896,3.01308124779768,0.35619124352282,3.47188559136498,-0.417931898378957
"S0085",3,2,1,2.30069876075202,-0,3.47188559136499,-0.41793189837896,2.30069876075202,-0,3.47188559136498,-0.417931898378957
"S0085",1,1,2,3.54922371776907,-0.262222272816854,4.59851606663541,0.262423901616318,3.10703029905166,-0.100047106335575,4.10181119586828,0.102969096127313
"S0085",2,1,2,2.79923492000039,0.332046936122052,3.04102125308033,0.63336406752129,2.81131887131193,0.326004960466282,3.04102125308032,0.633364067521288
"S0085",3,1,2,3.30294558287125,-0.11735224708308,3.47188559136499,0.41793189837896,3.20566146343751,-0.128833664403484,3.47188559136498,0.417931898378957
"S0085",1,2,2,3.45346092852331,-0.00493393186059243,4.87267327319144,0.125345298338302,3.26570478798263,0.000631990448059986,4.21225454098505,0.047747423568928
"S0085",2,2,2,3.01308124779766,-0.356191243522822,4.30774938812291,-0,3.01308124779768,-0.35619124352282,4.30774938812292,-0
"S0085",3,2,2,2.74987842644053,0.487792654201388,4.30774938812291,-0,2.74987842644054,0.487792654201386,4.30774938812292,-0
"S0105",1,1,1,1.53781603169447,0.0433097856526754,4.87267327319144,0.125345298338302,1.60517688464332,0.0532250178624305,4.21021654119857,0.0487664234621673
"S0105",2,1,1,2.30069876075202,-0,3.47188559136499,-0.41793189837896,2.32107338727241,-0.00292735747055437,3.47188559136498,-0.417931898378957
"S0105",3,1,1,1.29741547340617,-0.025782013492997,4.01660656148311,0.145571413319902,1.30205619258342,-0.0281023730816232,4.01660656148309,0.145571413319902
