sdt_SID,sdt_Validity,sdt_Target,sdt_nontargetContrast,dis_over2N_dPrime,dis_over2N_crit
"S0122",1,2,1,3.15955276254012,-0.27359052573766
"S0122",2,2,1,2.99370947566681,-0.365877129588247
"S0122",3,2,1,2.14177466693634,0.229266099895255
"S0122",1,1,2,1.22058922037267,5.55111512312578e-17
"S0122",2,1,2,0.887146559018876,0.443573279509438
"S0122",3,1,2,2.30069876075202,-0
"S0122",1,2,2,3.09130658347144,-0.491180839965667
"S0122",2,2,2,2.68446992472856,-0.191885581988269
"S0122",3,2,2,2.37574177792546,0.346249655389816
"S0122",1,1,3,2.59788950813754,0.202141191975256
"S0122",2,1,3,2.03749593939488,0.131601410678566
"S0122",3,1,3,1.11077161663679,0.555385808318393
"S0122",1,2,3,3.42335061301946,-2.22044604925031e-16
"S0122",2,2,3,2.97350348405844,-0.375980125392433
"S0122",3,2,3,1.9523928502097,0.134575191531936
"S0133",1,1,1,3.43801686763798,-0.588030825573833
"S0133",2,1,1,1.44966316644375,-0.26433704411876
"S0133",3,1,1,1.6553781209532,-0.303288547768559
"S0133",1,2,1,3.18055397792493,-0.14138740715978
"S0133",2,2,1,2.52791932884386,-0.253969495172348
"S0133",3,2,1,2.26757499946512,-0.166365933630861
"S0133",1,1,2,3.1871835120774,-0.44324237566269
"S0133",2,1,2,0.539273989302959,-0.353288728558608
"S0133",3,1,2,1.30766006498618,-0.496519347882919
"S0133",1,2,2,3.26578494047479,-0.0987719258848496
"S0133",2,2,2,2.20861029454863,-0.429815397078232
"S0133",3,2,2,1.82483913057209,-0.237929815089963
"S0133",1,1,3,3.41381156122657,-0.596134163976498
"S0133",2,1,3,2.68446992472856,-0.191885581988269
"S0133",3,1,3,2.17834214051493,-0.021600546379322
"S0133",1,2,3,3.10318486892508,-0.180071961659707
"S0133",2,2,3,3.03520649039657,0.0165172991542608
"S0133",3,2,3,2.96631973872955,-0.0179260766792511
"S0135",1,1,1,2.18219217623732,-0.116317962103541
"S0135",2,1,1,1.91209115749618,-0.0113759873536127
"S0135",3,1,1,1.01927367627666,-0.0147636745697085
"S0135",1,2,1,2.22426418474024,-0.200005588366319
"S0135",2,2,1,1.88719337778471,-0.167174927744429
"S0135",3,2,1,1.6384925405271,-0.169922357077085
"S0135",1,1,2,2.13314230364581,-0.17942459280403
"S0135",2,1,2,2.03749593939488,-0.131601410678566
"S0135",3,1,2,0.64608709572484,-0.165732863252249
"S0135",1,2,2,2.12458817096215,-0.320700041619561
"S0135",2,2,2,1.56163630921496,-0.106328404411397
"S0135",3,2,2,1.82483913057209,-0.237929815089963
"S0135",1,1,3,2.24769938415778,-0.0414382976177918
"S0135",2,1,3,1.81171484052958,0.114218812521413
"S0135",3,1,3,1.58602505471906,0.227063705426669
"S0135",1,2,3,2.37033397619558,-0.0608287565291489
"S0135",2,2,3,2.3523803517044,-0.289043616833323
"S0135",3,2,3,1.464546956783,-0.109347755181413
"S0149",1,1,1,3.48247674778995,-0.286830771038933
"S0149",2,1,1,2.08387798152714,-0.475990168830708
"S0149",3,1,1,1.71258770515619,-0.23336812936801
"S0149",1,2,1,3.56520082045592,-0.524438849164864
"S0149",2,2,1,2.87272203667123,-0.426370849086035
"S0149",3,2,1,2.34270717961694,-0.329732356235555
"S0149",1,1,2,3.46332879224449,-2.22044604925031e-16
"S0149",2,1,2,1.46898874434038,-0.415855008205817
"S0149",3,1,2,1.516110983769,0.0835657416884162
"S0149",1,2,2,3.09130658347144,-0.491180839965667
"S0149",2,2,2,2.20861029454863,-0.429815397078232
"S0149",3,2,2,1.63912579149068,-0.330786484630669
"S0149",1,1,3,3.55305677030619,-0.518366824089999
"S0149",2,1,3,2.80133620191762,-0.433246534857107
"S0149",3,1,3,2.19955233781416,-0.669048869611625
"S0149",1,2,3,3.83716048894233,-0.384459700118618
"S0149",2,2,3,3.3968524117742,-0.164305661534553
"S0149",3,2,3,3.26797688342471,-0.168754649026834
